ISO3,country_name,region,income_group,population,gdp_ppp,total_ghg,co2_fossil,ghg_per_capita,re_share_elec,ndgain_rank,ndgain_vuln,ndgain_ready,data_year,source_primary
MAR,Morocco,Africa,,37712505,143825163643,92.35137939453125,68.96117401123047,2.7036495208740234,21.715,,,,2024,Supabase
PCN,Pitcairn Islands,Oceania,,35,,,,,,,,,2024,Supabase
CUW,Curaçao,Americas,,154654,3281419347,,2.204922914505005,,,,,,2024,Supabase
ABW,Aruba,Americas,,107359,3834729616,0.9169740676879883,0.8865839838981628,8.509621620178223,17,,,,2024,Supabase
ESP,Spain,Europe,,48352528,1619481980720,239.57766723632812,215.46075439453125,5.644022464752197,51.64,,,,2024,Supabase
GAB,Gabon,Africa,,2484789,19388372071,20.440685272216797,5.320943832397461,11.18725872039795,47.962,,,,2024,Supabase
ALA,Åland Islands,Europe,,30654,,,,,,,,,2024,Supabase
DNK,Denmark,Europe,,5946952,404651706118,33.77995300292969,28.83118438720703,7.8415350914001465,87.007,,,,2024,Supabase
MTQ,Martinique,Americas,,349925,,,,,26.174,,,,2024,Supabase
ATG,Antigua and Barbuda,Americas,,93316,2005785185,0.6932476758956909,0.6405329704284668,7.494749546051025,5.556,,,,2024,Supabase
SWZ,Eswatini,Africa,,1230506,4621191262,1.7443746328353882,1.0296130180358887,1.4176064729690552,96.429,,,,2024,Supabase
TWN,Taiwan,Asia,,23317031,,284.25323486328125,267.1268005371094,12.36015510559082,8.868,,,,2024,Supabase
VUT,Vanuatu,Oceania,,320409,1115861056,0.30260875821113586,0.18845799565315247,1.3408927917480469,25,,,,2024,Supabase
COK,Cook Islands,Oceania,,15040,,0.08413849771022797,0.07658100128173828,5.971723556518555,50,,,,2024,Supabase
CCK,Cocos (Keeling) Islands,Oceania,,593,,,,,,,,,2024,Supabase
CPV,Cape Verde,Africa,,522331,2504525549,0.6955440044403076,0.5714929699897766,1.5563229322433472,28,,,,2024,Supabase
BLR,Belarus,Europe,,9178298,72478760370,66.04859924316406,55.73606491088867,10.414688110351562,3.075,,,,2024,Supabase
CZE,Czechia,Europe,,10864042,345059295660,95.89529418945312,83.23224639892578,8.607144355773926,14.708,,,,2024,Supabase
PER,Peru,Americas,,33845617,266958720838,79.22087860107422,66.06475067138672,4.356317520141602,53.063,,,,2024,Supabase
TLS,Timor-Leste,Asia,,1384286,2079767170,0.939559280872345,0.6367170214653015,3.5160064697265625,0,,,,2024,Supabase
NAM,Namibia,Africa,,2963095,12408271449,5.076597213745117,3.4426639080047607,5.76864767074585,97.884,,,,2024,Supabase
TKL,Tokelau,Oceania,,2608,,,,,,,,,2024,Supabase
COD,DR Congo,Africa,,105789731,69843655425,45.070308685302734,5.8810858726501465,6.605055332183838,100,,,,2024,Supabase
LCA,Saint Lucia,Americas,,179285,2430166667,0.5632486939430237,0.5170459747314453,3.064155101776123,2.5,,,,2024,Supabase
SUR,Suriname,Americas,,628886,3472693412,3.3996422290802,2.868587017059326,9.022785186767578,42.991,,,,2024,Supabase
